occupation_id,n_revealed,strategy,digits,method,prior,p@5,p@10,mrr
167,5,core_first,2,popular_group,0.06666666666666667,0.0,0.0,0.007575757575757576
167,5,core_first,2,raw_distance,0.06666666666666667,0.0,0.0,0.014705882352941176
167,5,core_first,2,raw_correlation,0.06666666666666667,0.0,0.0,0.0070921985815602835
167,5,core_first,2,mf_latent,0.06666666666666667,0.0,0.0,0.024390243902439025
167,5,core_first,2,mf_impute,0.06666666666666667,0.0,0.0,0.008771929824561403
191,5,core_first,1,random,0.1259259259259259,0.0,0.2,0.14285714285714285
191,5,core_first,1,popular_group,0.1259259259259259,0.0,0.0,0.00641025641025641
191,5,core_first,1,raw_distance,0.1259259259259259,0.0,0.0,0.07692307692307693
191,5,core_first,1,raw_correlation,0.1259259259259259,0.0,0.0,0.010752688172043012
191,5,core_first,1,mf_latent,0.1259259259259259,0.6,0.6,0.3333333333333333
191,5,core_first,1,mf_impute,0.1259259259259259,0.0,0.0,0.04
191,5,core_first,2,random,0.06666666666666667,0.0,0.0,0.05555555555555555
191,5,core_first,2,popular_group,0.06666666666666667,0.0,0.0,0.007575757575757576
191,5,core_first,2,raw_distance,0.06666666666666667,0.0,0.0,0.05263157894736842
191,5,core_first,2,raw_correlation,0.06666666666666667,0.0,0.0,0.0070921985815602835
191,5,core_first,2,mf_latent,0.06666666666666667,0.0,0.0,0.01694915254237288
191,5,core_first,2,mf_impute,0.06666666666666667,0.0,0.0,0.00909090909090909
201,5,core_first,1,random,0.1259259259259259,0.0,0.0,0.07142857142857142
201,5,core_first,1,popular_group,0.1259259259259259,0.0,0.0,0.00641025641025641
201,5,core_first,1,raw_distance,0.1259259259259259,0.0,0.3,0.16666666666666666
201,5,core_first,1,raw_correlation,0.1259259259259259,0.0,0.0,0.010752688172043012
201,5,core_first,1,mf_latent,0.1259259259259259,0.6,0.8,0.5
201,5,core_first,1,mf_impute,0.1259259259259259,0.0,0.0,0.05555555555555555
201,5,core_first,2,random,0.06666666666666667,0.0,0.0,0.07142857142857142
